Wall time,Step,Value
1751834470.6420047,5,0.05715878680348396
1751834485.6215575,15,0.05876997485756874
1751834487.1243076,16,0.057545844465494156
1751834491.6067357,19,0.058371033519506454
1751834493.1234257,20,0.05959787592291832
1751834497.6122184,23,0.05673207715153694
1751834503.6049664,27,0.05754753574728966
1751834505.1094625,28,0.05881690979003906
1751834524.6288574,41,0.05598939210176468
1751834535.1409185,48,0.05754747614264488
1751834536.6367457,49,0.05683741346001625
1751834538.1506777,50,0.05662240460515022
1751834545.6893375,55,0.05759694054722786
1751834557.8366423,63,0.05596308410167694
1751834559.3350308,64,0.05590936914086342
1751834563.8498151,67,0.05633099377155304
1751834565.3605192,68,0.05614282190799713
1751834569.8635695,71,0.05597719922661781
1751834571.384659,72,0.05638958141207695
1751834580.3970265,78,0.05582201108336449
1751834587.9022439,83,0.05643168464303017
1751834598.4214954,90,0.05620696395635605
1751834613.4276433,100,0.05642346665263176
1751834619.4202092,104,0.056708674877882004
1751834623.9333785,107,0.05676683411002159
1751834625.4415007,108,0.05661443620920181
1751834638.9620235,117,0.05630123242735863
1751834646.4605246,122,0.05640556663274765
1751834652.476855,126,0.056590672582387924
1751834653.9958282,127,0.05648234114050865
1751834656.9780102,129,0.05636212229728699
1751834659.9892764,131,0.05636215582489967
1751834668.9800725,137,0.05588376894593239
1751834681.1607213,145,0.055926598608493805
1751834684.169808,147,0.05598994717001915
1751834685.6689303,148,0.05603643134236336
1751834690.1898243,151,0.05571497231721878
1751834700.6658294,158,0.055947646498680115
1751834705.158362,161,0.05555516108870506
1751834708.1776376,163,0.05536564812064171
1751834711.1931705,165,0.05533169209957123
1751834721.7325578,172,0.05527389794588089
1751834723.239951,173,0.05528602376580238
1751834730.7747428,178,0.055291660130023956
1751834741.2699015,185,0.054765939712524414
1751834742.7763643,186,0.0547163225710392
1751834744.2809513,187,0.054519474506378174
1751834751.7502348,192,0.05476163700222969
1751834753.2421622,193,0.05461850017309189
1751834763.894951,200,0.05466017127037048
1751834768.402081,203,0.05449813976883888
1751834769.9307656,204,0.05437823385000229
1751834772.9335175,206,0.054763633757829666
1751834795.242505,212,0.05477973446249962
1751834798.2560384,214,0.054701536893844604
1751834801.2641242,216,0.05481026694178581
1751834808.7835054,221,0.05480043217539787
1751834810.2858062,222,0.05469125881791115
1751834814.816718,225,0.054963354021310806
1751834822.341489,230,0.054699383676052094
1751834844.900214,245,0.05530557408928871
1751834846.4040353,246,0.055262111127376556
1751834865.9240775,259,0.05471698194742203
1751834867.4317012,260,0.05461488664150238
1751834868.9319944,261,0.05438468977808952
1751834885.617428,272,0.055219873785972595
1751834890.137755,275,0.055159978568553925
1751834896.1473696,279,0.05524503067135811
1751834902.1614077,283,0.05526581034064293
1751834906.6737719,286,0.05525023117661476
1751834911.1856205,289,0.055149760097265244
1751834914.2015707,291,0.055031441152095795
1751834921.721268,296,0.054866623133420944
1751834924.7079988,298,0.05490080267190933
1751834926.2098439,299,0.05484540015459061
1751834941.2412317,309,0.054644159972667694
1751834947.253824,313,0.05458807945251465
1751834953.2835572,317,0.05459586903452873
1751834956.295001,319,0.054625485092401505
1751834957.7980795,320,0.05469490960240364
1751834962.3406625,323,0.05496117100119591
